Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
LIVE,Live Ventures Incorporated,2.7999,46861016.33,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/live
MNGA,MagneGas Corporation,0.495,25808955.48,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/mnga
COOL,Majesco Entertainment Company,3.32,9239593.2,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cool
MTBC,"Medical Transcription Billing, Corp.",0.89,9167336.42,n/a,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/mtbc
MTBCP,"Medical Transcription Billing, Corp.",26.9599,7943896.294,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/mtbcp
MNDO,MIND C.T.I. Ltd.,2.37,45583200.66,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/mndo
MIND,"Mitcham Industries, Inc.",3.4,41105177.2,n/a,1994,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/mind
MINDP,"Mitcham Industries, Inc.",23.4989,0,n/a,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/mindp
MDSY,ModSys International Ltd.,1.07,20009102.72,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/mdsy
MSDI,"Monster Digital, Inc.",1.4974,10989493.47,n/a,2016,Technology,Electronic Components,http://www.nasdaq.com/symbol/msdi
MSDIW,"Monster Digital, Inc.",0.3236,0,n/a,2016,Technology,Electronic Components,http://www.nasdaq.com/symbol/msdiw
MOSY,"MoSys, Inc.",0.49,32489963.03,n/a,2001,Technology,Semiconductors,http://www.nasdaq.com/symbol/mosy
NNDM,Nano Dimension Ltd.,6.39,16265764.17,2545503,n/a,Technology,Electrical Products,http://www.nasdaq.com/symbol/nndm
NETE,"Net Element, Inc.",0.84,12845469,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/nete
PFIN,"P & F Industries, Inc.",7.01,25221068.7,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/pfin
TEUM,Pareteum Corporation,0.14,25205029.36,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/teum
PRKR,"ParkerVision, Inc.",2.86,37466983.84,n/a,1993,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/prkr
